Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
14	NCT04323228	Anti-inflammatory/Antioxidant Oral Nutrition Supplementation in COVID-19	ONSCOVID19	Not yet recruiting	No Results Available	COVID-19	Dietary Supplement: oral nutrition supplement (ONS) enriched in eicosapentaenoic acid, gamma-linolenic acid and antioxidants|Dietary Supplement: isocaloric/isonutrigenous ONS	Change from baseline score of Nutrition risk screening-2002 (NRS-2002) at end of the trial|Change from baseline Serum ferritin level at end of the trial|Change from baseline serum Interleukin-6 concentration at end of the trial|Change from baseline serum C-reactive protein concentration at end of the trial|Change from baseline serum Tumor necrosis factor-α concentration at end of the trial|Change from baseline serum monocyte chemoattractant protein 1 (MCP-1) at end of the trial|Change from baseline Weight at end of the trial|Height|Change from baseline BMI at end of the trial|Change from baseline mid arm circumference at end of the trial|Change from baseline triceps skin-fold thickness at end of the trial|Change from baseline MAMA at end of the trial|Change from baseline percentage of peripheral O2 saturation at end of the trial|Change from baseline degree of body temperature at end of the trial|Change from baseline count the total leukocyte at end of the trial|Change from baseline differential lymphocytic count at end of the trial|Change from baseline Neutrophil count at end of the trial|Change from baseline neutrophil to lymphocyte ratio at end of the trial	King Saud University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 4	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care	ONS_COVID-19	May 1, 2020	October 1, 2020	October 30, 2020	March 26, 2020		April 15, 2020			https://ClinicalTrials.gov/show/NCT04323228
15	NCT04335123	Study of Open Label Losartan in COVID-19		Recruiting	No Results Available	COVID-19	Drug: Losartan	Number of participants with treatment-related adverse events as assessed by protocol definition of AE|Number of days on supplemental oxygen in respiratory failure due to COVID-19|Incidence of mechanical ventilation use|Days on mechanical ventilation|Incidence of non-invasive positive pressure ventilation or heated high flow nasal cannula use|Days on non-invasive positive pressure ventilation or high flow nasal cannula|Incidence of transfer to ICU from non-ICU hospital bed|ICU length of stay (days)|30-day mortality rate|Hospital length of stay (days)|Cumulative incidence of severe adverse events|Cumulative incidence of adverse events|Change from baseline in oxygenation|Incidence of medications with possible antiviral activity (hydroxychloroquine, lopinavir/ritonavir, ribavirin or remdesivir) or adjunctive therapy use (e.g., tocilizumab)|Incidence (and length in days) of extracorporeal membrane oxygenation use|Incidence (and length in days) of renal replacement therapy use|Intolerance of high dose (50mg) losartan after tolerating 25mg	University of Kansas Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 1	50	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00145514	March 25, 2020	September 2020	October 2020	April 6, 2020		April 14, 2020	University of Kansas Medical Center, Kansas City, Kansas, United States		https://ClinicalTrials.gov/show/NCT04335123
16	NCT04350593	Dapagliflozin in Respiratory Failure in Patients With COVID-19	DARE-19	Recruiting	No Results Available	COVID-19	Drug: Dapagliflozin 10 MG|Drug: Placebo	Time to first occurrence of either death from any cause or new/worsened organ dysfunction through 30 days of follow up, defined as at least one of the following:|Hierarchical composite outcome measures:|Time to hospital discharge|Total number of days alive, out of hospital, and/or free from mechanical ventilation|Total number of days alive, not in the ICU, and free from mechanical ventilation (as defined in the primary outcome measure)|Time to death from any cause|Time to new/worsened organ dysfunction|Time to acute kidney injury (defined as doubling of s-Creatinine compared to baseline)	Saint Luke's Health System|AstraZeneca|George Clinical Pty Ltd	All	18 Years and older   (Adult, Older Adult)	Phase 3	900	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	D1690C00081|ESR-20-20653	April 15, 2020	October 2020	December 2020	April 17, 2020		April 17, 2020	Saint Luke's Mid America Heart Institute, Kansas City, Missouri, United States		https://ClinicalTrials.gov/show/NCT04350593
17	NCT04333420	Open-label, Randomized Study of IFX-1 in Patients With Severe COVID-19 Pneumonia	PANAMO	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Best supportive Care (BSC) + IFX-1|Drug: Best supportive care only	Change in PaO2/FiO2|Patients achieving early response	InflaRx GmbH	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	130	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IFX-1-P2.9	March 31, 2020	October 31, 2020	December 31, 2020	April 3, 2020		April 16, 2020	University Amsterdam, Amsterdam, Netherlands|University Amsterdam, Amsterdam, Netherlands|University Maastricht, Maastricht, Netherlands		https://ClinicalTrials.gov/show/NCT04333420
18	NCT04342689	The Role of Resistant Potato Starch in COVID-19 Infection		Not yet recruiting	No Results Available	COVID-19	Dietary Supplement: Bob's Red Mill|Dietary Supplement: Control - Corn Starch	Rates of hospitalization for a COVID-19 related complication|Time to clinical recovery (TTCR)|Symptom Severity Score	Yale University|University of Michigan|University of Minnesota	All	18 Years and older   (Adult, Older Adult)	Not Applicable	1300	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	2000027887	May 1, 2020	October 1, 2020	May 1, 2021	April 13, 2020		April 16, 2020			https://ClinicalTrials.gov/show/NCT04342689
19	NCT04343755	Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection		Recruiting	No Results Available	COVID-19	Biological: Convalescent Plasma	For patients hospitalized for COVID-19 but not intubated|Primary objective for patients with COVID-19 already intubated|Duration of hospitalization|Duration of mechanical ventilation|Time to symptoms resolution|Overall survival|Rate of virologic clearance by nasopharyngeal swab at day 10|Impact of donor titers level on efficacy|Impact of donor titers level on safety|Recipient Anti-SARS-CoV2 titer assessment on days 0 (pre-infusion),3,10,30, 60	Hackensack Meridian Health	All	18 Years and older   (Adult, Older Adult)	Phase 2	55	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro2020-0375	April 9, 2020	April 2021	April 2021	April 13, 2020		April 17, 2020	Hackensack University Medical Center, Hackensack, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04343755
20	NCT04329611	ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease		Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine	Composite of hospitalization, invasive mechanical ventilation or death within 30 days|mortality|Symptom duration|Disposition at 30 days defined as recovered, ongoing symptoms but not hospitalized, hospitalized, or deceased.	Dr. Michael Hill|Alberta Health Services|University of Alberta|University of Calgary|Calgary Health Trust|Alberta Innovates Health Solutions|Government of Alberta	All	18 Years and older   (Adult, Older Adult)	Phase 3	1660	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	ABCOV-01 version 1.1	April 13, 2020	July 31, 2020	August 31, 2020	April 1, 2020		April 15, 2020	University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada		https://ClinicalTrials.gov/show/NCT04329611
21	NCT04321421	Hyperimmune Plasma for Critical Patients With COVID-19	COV19-PLASMA	Active, not recruiting	No Results Available	COVID-19	Other: hyperimmune plasma	death|time to extubation|length of intensive care unit stay|time to CPAP weaning|viral load|immune response	Foundation IRCCS San Matteo Hospital|OSPEDALE CARLO POMA ASST MANTOVA|OSPEDALE MAGGIORE LODI|OSPEDALE ASST CREMONA	All	18 Years and older   (Adult, Older Adult)	Not Applicable	49	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRCCSSanMatteoH	March 17, 2020	May 31, 2020	May 31, 2020	March 25, 2020		March 25, 2020	Catherine Klersy, Pavia, PV, Italy		https://ClinicalTrials.gov/show/NCT04321421
22	NCT04325633	Efficacy of Addition of Naproxen in the Treatment of Critically Ill Patients Hospitalized for COVID-19 Infection	ENACOVID	Not yet recruiting	No Results Available	COVID-19	Drug: 1: Naproxen|Drug: 2: Standard of care	Mortality all causes at day30|Number of days alive free of mechanical ventilation|Number of days alive outside|Number of days alive outside hospital|Maximal changes in Sofa score|Time to negativation of virus titer in the nasopharyngeal aspirate (NPA)	Assistance Publique - Hôpitaux de Paris	All	18 Years and older   (Adult, Older Adult)	Phase 3	584	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	APHP200387	April 13, 2020	May 13, 2021	July 13, 2021	March 27, 2020		April 14, 2020			https://ClinicalTrials.gov/show/NCT04325633
23	NCT04351659	Novel Adoptive Cellular Therapy With SARS-CoV-2 Specific T Cells in Patients With Severe COVID-19		Recruiting	No Results Available	COVID-19	Other: Blood donation from convalescent donor	Success rate in production of SARS-CoV-2 specific T cells from convalescent donor	KK Women's and Children's Hospital|Singapore General Hospital|National University Hospital, Singapore	All	21 Years to 65 Years   (Adult, Older Adult)		8	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	COVID-T 1.0	April 2020	August 2020	August 2020	April 17, 2020		April 17, 2020	National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore		https://ClinicalTrials.gov/show/NCT04351659
24	NCT04344015	COVID-19 Plasma Collection		Recruiting	No Results Available	COVID-19	Other: Plasma Donation	Number of patients who screen eligible for donation|Number of patients who consent to plasma donation|Number of plasma donations received|Safety of donation procedures	Thomas Jefferson University	All	18 Years and older   (Adult, Older Adult)	Not Applicable	2000	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	20D.346	April 13, 2020	April 12, 2021	April 12, 2021	April 14, 2020		April 16, 2020	Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT04344015
25	NCT04323332	Traditional Chinese Medicine for Severe COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Traditional Chinese Medicine Prescription	Length of hospital stay (days)|Duration (days) of supplemental oxygenation|CT imaging changes|Mortality rate|Time to Clinical Improvement (TTCI)|The pneumonia severity index scores|Time to COVID-19 nucleic acid testing negativity in throat swab|Blood immune cell count|Serum inflammatory markers|Erythrocyte sedimentation rate|Platelet and D-dimer changes|Creatinine changes|Muscle enzymes changes|Usage of antibiotics|Usage of glucocorticoids|Frequency of adverse events	Xiyuan Hospital of China Academy of Chinese Medical Sciences	All	up to 85 Years   (Child, Adult, Older Adult)	Phase 3	50	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020XLA015-1	March 2020	March 2020	April 2020	March 26, 2020		March 26, 2020	Hao Li, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT04323332
26	NCT04339660	Clinical Research of Human Mesenchymal Stem Cells in the Treatment of COVID-19 Pneumonia		Recruiting	No Results Available	COVID-19	Biological: UC-MSCs|Other: Placebo	The immune function (TNF-α 、IL-1β、IL-6、TGF-β、IL-8、PCT、CRP)|Blood oxygen saturation|Rate of mortality within 28-days|Size of lesion area by chest imaging|CD4+ and CD8+ T cells count|Peripheral blood count recovery time|Duration of respiratory symptoms (fever, dry cough, difficulty breathing, etc.)|COVID-19 nucleic acid negative time	Puren Hospital Affiliated to Wuhan University of Science and Technology|Shanghai University|Qingdao Co-orient Watson Biotechnology group co. LTD|Basic Medical Sciences, Chinese Academy of Medical Sciences	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 1|Phase 2	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	Pr20200402	February 1, 2020	June 30, 2020	June 30, 2020	April 9, 2020		April 9, 2020	Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04339660
27	NCT04306497	Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19.	CTOROTSADTOC	Recruiting	No Results Available	COVID-19	Drug: TCM prescriptions	The relief / disappearance rate of main symptoms|Chest CT absorption|Virus antigen negative conversion rate|Clinical effective time: the average effective time|The number of severe and critical conversion cases|Incidence of complications|Traditional Chinese Medicine Syndrome Score	Jiangsu Famous Medical Technology Co., Ltd.	All	18 Years to 75 Years   (Adult, Older Adult)		340	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	JSZYJ202001	March 2, 2020	May 2020	May 2020	March 13, 2020		March 17, 2020	Huai'an fourth people's Hospital, Huaian, Jiangsu, China		https://ClinicalTrials.gov/show/NCT04306497
28	NCT04287686	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19		Withdrawn	No Results Available	COVID-19	Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2)	Time course of body temperature (fever)|Viral load over time|P/F ratio over time|Sequential organ failure assessment score(SOFA score) over time|Pulmonary Severity Index (PSI)|Image examination of chest over time|Proportion of subjects who progressed to critical illness or death|Time from first dose to conversion to normal or mild pneumonia|T-lymphocyte counts over time|C-reactive protein levels over time|Angiotensin II (Ang II) changes over time|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Angiotensin-converting enzyme 2 (ACE2) changes over time|Interleukin 6 (IL-6) changes over time|Interleukin 8 (IL-8) changes over time|Soluble tumor necrosis factor receptor type II (sTNFrII) changes over time|Plasminogen activator inhibitor type-1 (PAI-1) changes over time|Von willebrand factor (vWF) changes over time|Tumor necrosis factor-α (TNF-α) changes over time|Soluble receptor for advanced glycation end products (sRAGE) changes over time|Surfactant protein-D (SP-D) changes over time|Angiopoietin-2 changes over time|Frequency of adverse events and severe adverse events	The First Affiliated Hospital of Guangzhou Medical University	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GIRH-APN01	February 2020	April 2020	April 2020	February 27, 2020		March 17, 2020	GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China		https://ClinicalTrials.gov/show/NCT04287686
29	NCT04344145	Exhaustion and Needs in Frontline COVID-19 Healthcare Workers: Cross-sectional Study in a Belgian Population		Not yet recruiting	No Results Available	COVID-19		Burnout|Emotional Distress|Insomnia|Needs and difficulties in work situations	Université Libre de Bruxelles	All	18 Years and older   (Adult, Older Adult)		200	Other	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	PSY-ENCOVID19	April 15, 2020	June 15, 2020	July 15, 2020	April 14, 2020		April 14, 2020			https://ClinicalTrials.gov/show/NCT04344145
30	NCT04324996	A Phase I/II Study of Universal Off-the-shelf NKG2D-ACE2 CAR-NK Cells for Therapy of COVID-19		Recruiting	No Results Available	COVID-19	Biological: NK cells,IL15-NK cells,NKG2D CAR-NK cells,ACE2 CAR-NK cells,NKG2D-ACE2 CAR-NK cells	Clinical response|Side effects in the treatment group	Chongqing Public Health Medical Center|Chongqing Sidemu Biotechnology Technology Co.,Ltd.	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	90	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	ChongqingPublicHMC	March 21, 2020	May 31, 2020	September 30, 2020	March 27, 2020		March 27, 2020	Chongqing Public Health Medical Center, Chongqing, China		https://ClinicalTrials.gov/show/NCT04324996
