Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
13	NCT04342637	COVID-19 Endoscopy Survey	COVID-19 Endo	Recruiting	No Results Available	COVID-19	Other: Practice details	Effect of GI societies recommendations on prevention of SARS-CoV-2 infection|To measure the percentage change in performed endoscopic procedure in response to COVID-19|Effect of COVID-19 precautions on procedure time|Effect of COVID-19 precautions on time of disinfection|Effect of COVID-19 precautions on procedure success|Effect of COVID-19 precautions on complications|Effect of COVID-19 precautions on working time|Effect of COVID-19 precautions on staff number	Al-Azhar University	All	30 Years to 70 Years   (Adult, Older Adult)		40	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	WES-2	April 10, 2020	October 10, 2020	December 10, 2020	April 13, 2020		April 21, 2020	Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of		https://ClinicalTrials.gov/show/NCT04342637
14	NCT04291053	The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Huaier Granule	Mortality rate|Clinical status assessed according to the official guideline|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function	Tongji Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2|Phase 3	550	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TJ-IRB20200205	April 1, 2020	August 1, 2020	September 1, 2020	March 2, 2020		March 17, 2020			https://ClinicalTrials.gov/show/NCT04291053
15	NCT04336462	Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19	COVID-19	Recruiting	No Results Available	COVID-19	Device: oxyhydrogen|Device: Oxygen	Recovery time|Clinical Symptom Remission time|fever duration|Leicester cough questionaire (LCQ)|minimum oxygen|Negative conversion rate|white blood cell(WBC)|Red blood cells(RBC)|Hemoglobin(Hb )|Platelets(PLT)|Lymphocyte count|The percentage of lymphocyte|neutrophils|C-reactive protein (CRP)|Myocardial enzyme|liver function|Renal function|Muscle enzyme	Shanghai Asclepius Meditec Inc.|Shanghai Public Health Clinical Center|Henan Provincial People's Hospital|Shenzhen Third People's Hospital|The First People's Hospital of Yunnan|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|Shanghai 6th People's Hospital|Guangdong Provincial Hospital of Traditional Chinese Medicine	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	100	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	JT202002LZ	February 15, 2020	February 21, 2020	August 1, 2020	April 7, 2020		April 7, 2020	First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China		https://ClinicalTrials.gov/show/NCT04336462
16	NCT04342689	The Role of Resistant Starch in COVID-19 Infection		Not yet recruiting	No Results Available	COVID-19	Drug: Dietary Supplement containing resistant starch|Dietary Supplement: Placebo Starch	Rates of hospitalization for a COVID-19 related complication|Time to clinical recovery (TTCR)|Symptom Severity Score	Yale University|University of Michigan|University of Minnesota	All	19 Years and older   (Adult, Older Adult)	Phase 3	1500	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2000027887	May 1, 2020	May 1, 2021	May 1, 2021	April 13, 2020		April 24, 2020			https://ClinicalTrials.gov/show/NCT04342689
17	NCT04363346	Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia		Not yet recruiting	No Results Available	COVID-19	Drug: FT516	Number of participants with Dose Limiting Toxicity Events|The time in days from the 1st FT516 infusion to the elimination of viral shedding in nasal pharyngeal and stool samples|The time in days from the 1st FT516 infusion to discontinued need for supplemental oxygen|The time in days from the 1st FT516 infusion to hospital discharge	Masonic Cancer Center, University of Minnesota	All	18 Years to 76 Years   (Adult, Older Adult)	Phase 1	12	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IDIM-2020-28708	May 4, 2020	January 2022	January 2022	April 27, 2020		April 27, 2020	University of Minnesota, Minneapolis, Minnesota, United States		https://ClinicalTrials.gov/show/NCT04363346
18	NCT04324489	DAS181 for Severe COVID-19: Compassionate Use		Recruiting	No Results Available	COVID-19	Drug: DAS181	Improved clinical status|Return to room air|SARS-CoV-2 RNA|Discharge|Death	Renmin Hospital of Wuhan University|Ansun Biopharma, Inc.	All	18 Years to 70 Years   (Adult, Older Adult)	Not Applicable	4	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	DAS181-SARS-CoV-2	March 6, 2020	April 25, 2020	April 30, 2020	March 27, 2020		April 2, 2020	Renmin Hospital of Wuhan University, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04324489
19	NCT04347993	A Prospective "Universal" Observational Database for COVID-19		Recruiting	No Results Available	COVID-19		Need for hospitalization|Duration of hospitalization|Need for ICU/Ventilator Support|Duration of ICU/Ventilator Support|Overall Survival	Hackensack Meridian Health	All	Child, Adult, Older Adult		5000	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	Pro2020-0342	March 27, 2020	April 2021	April 2021	April 15, 2020		April 24, 2020	Hackensack Meridian Health - John Theurer Cancer Center, Hackensack, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04347993
20	NCT04323228	Anti-inflammatory/Antioxidant Oral Nutrition Supplementation in COVID-19	ONSCOVID19	Not yet recruiting	No Results Available	COVID-19	Dietary Supplement: oral nutrition supplement (ONS) enriched in eicosapentaenoic acid, gamma-linolenic acid and antioxidants|Dietary Supplement: isocaloric/isonutrigenous ONS	Change from baseline score of Nutrition risk screening-2002 (NRS-2002) at end of the trial|Change from baseline Serum ferritin level at end of the trial|Change from baseline serum Interleukin-6 concentration at end of the trial|Change from baseline serum C-reactive protein concentration at end of the trial|Change from baseline serum Tumor necrosis factor-α concentration at end of the trial|Change from baseline serum monocyte chemoattractant protein 1 (MCP-1) at end of the trial|Change from baseline Weight at end of the trial|Height|Change from baseline BMI at end of the trial|Change from baseline mid arm circumference at end of the trial|Change from baseline triceps skin-fold thickness at end of the trial|Change from baseline MAMA at end of the trial|Change from baseline percentage of peripheral O2 saturation at end of the trial|Change from baseline degree of body temperature at end of the trial|Change from baseline count the total leukocyte at end of the trial|Change from baseline differential lymphocytic count at end of the trial|Change from baseline Neutrophil count at end of the trial|Change from baseline neutrophil to lymphocyte ratio at end of the trial	King Saud University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 4	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care	ONS_COVID-19	May 1, 2020	October 1, 2020	October 30, 2020	March 26, 2020		April 15, 2020			https://ClinicalTrials.gov/show/NCT04323228
21	NCT04335123	Study of Open Label Losartan in COVID-19		Recruiting	No Results Available	COVID-19	Drug: Losartan	Number of participants with treatment-related adverse events as assessed by protocol definition of AE|Number of days on supplemental oxygen in respiratory failure due to COVID-19|Incidence of mechanical ventilation use|Days on mechanical ventilation|Incidence of non-invasive positive pressure ventilation or heated high flow nasal cannula use|Days on non-invasive positive pressure ventilation or high flow nasal cannula|Incidence of transfer to ICU from non-ICU hospital bed|ICU length of stay (days)|30-day mortality rate|Hospital length of stay (days)|Cumulative incidence of severe adverse events|Cumulative incidence of adverse events|Change from baseline in oxygenation|Incidence of medications with possible antiviral activity (hydroxychloroquine, lopinavir/ritonavir, ribavirin or remdesivir) or adjunctive therapy use (e.g., tocilizumab)|Incidence (and length in days) of extracorporeal membrane oxygenation use|Incidence (and length in days) of renal replacement therapy use|Intolerance of high dose (50mg) losartan after tolerating 25mg	University of Kansas Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 1	50	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00145514	March 25, 2020	September 2020	October 2020	April 6, 2020		April 24, 2020	University of Kansas Medical Center, Kansas City, Kansas, United States		https://ClinicalTrials.gov/show/NCT04335123
22	NCT04360356	Ivermectin and Nitazoxanide Combination Therapy for COVID-19		Not yet recruiting	No Results Available	COVID-19	Combination Product: Ivermectin plus Nitazoxanide|Other: Standard Care	Number of Patients with COVID-19-negative PCR|Number of patients with improved respiratory rate|Number of patients with improved PaO2|Number of patients with normalized Serum IL6|Number of patients with normalized Serum TNFα|Number of patients with normalized Serum iron|Number of patients with normalized Serum ferritin|Number of patients with normalized International normalized ratio "INR" for prothrombin time|Number of patients with normalized complete blood count "CBC"|The Mortality rate among treated patients	Tanta University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2|Phase 3	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	IVR/NTZ	May 2020	October 2020	December 2020	April 24, 2020		April 24, 2020			https://ClinicalTrials.gov/show/NCT04360356
23	NCT04350593	Dapagliflozin in Respiratory Failure in Patients With COVID-19	DARE-19	Recruiting	No Results Available	COVID-19	Drug: Dapagliflozin 10 MG|Drug: Placebo	Time to first occurrence of either death from any cause or new/worsened organ dysfunction through 30 days of follow up, defined as at least one of the following:|Hierarchical composite outcome measures:|Time to hospital discharge|Total number of days alive, out of hospital, and/or free from mechanical ventilation|Total number of days alive, not in the ICU, and free from mechanical ventilation (as defined in the primary outcome measure)|Time to death from any cause|Time to new/worsened organ dysfunction|Time to acute kidney injury (defined as doubling of s-Creatinine compared to baseline)	Saint Luke's Health System|AstraZeneca|George Clinical Pty Ltd	All	18 Years and older   (Adult, Older Adult)	Phase 3	900	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	D1690C00081|ESR-20-20653	April 15, 2020	October 2020	December 2020	April 17, 2020		April 17, 2020	Saint Luke's Mid America Heart Institute, Kansas City, Missouri, United States		https://ClinicalTrials.gov/show/NCT04350593
24	NCT04333420	Open-label, Randomized Study of IFX-1 in Patients With Severe COVID-19 Pneumonia	PANAMO	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Best supportive Care (BSC) + IFX-1|Drug: Best supportive care only	Change in PaO2/FiO2|Patients achieving early response	InflaRx GmbH	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	130	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IFX-1-P2.9	March 31, 2020	October 31, 2020	December 31, 2020	April 3, 2020		April 16, 2020	University Amsterdam, Amsterdam, Netherlands|University Amsterdam, Amsterdam, Netherlands|University Maastricht, Maastricht, Netherlands		https://ClinicalTrials.gov/show/NCT04333420
25	NCT04343755	Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection		Recruiting	No Results Available	COVID-19	Biological: Convalescent Plasma	For patients hospitalized for COVID-19 but not intubated|Primary objective for patients with COVID-19 already intubated|Duration of hospitalization|Duration of mechanical ventilation|Time to symptoms resolution|Overall survival|Rate of virologic clearance by nasopharyngeal swab at day 10|Impact of donor titers level on efficacy|Impact of donor titers level on safety|Recipient Anti-SARS-CoV2 titer assessment on days 0 (pre-infusion),3,10,30, 60	Hackensack Meridian Health	All	18 Years and older   (Adult, Older Adult)	Phase 2	55	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro2020-0375	April 9, 2020	April 2021	April 2021	April 13, 2020		April 17, 2020	Hackensack University Medical Center, Hackensack, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04343755
26	NCT04321421	Hyperimmune Plasma for Critical Patients With COVID-19	COV19-PLASMA	Recruiting	No Results Available	COVID-19	Other: hyperimmune plasma	death|time to extubation|length of intensive care unit stay|time to CPAP weaning|viral load|immune response	Foundation IRCCS San Matteo Hospital|OSPEDALE CARLO POMA ASST MANTOVA	All	18 Years and older   (Adult, Older Adult)	Not Applicable	49	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRCCSSanMatteoH	March 17, 2020	May 31, 2020	May 31, 2020	March 25, 2020		April 27, 2020	Catherine Klersy, Pavia, PV, Italy|Ospedale Asst Carlo Poma Mantova, Mantova, Italy		https://ClinicalTrials.gov/show/NCT04321421
27	NCT04329611	ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease		Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine	Composite of hospitalization, invasive mechanical ventilation or death within 30 days|mortality|Symptom duration|Disposition at 30 days defined as recovered, ongoing symptoms but not hospitalized, hospitalized, or deceased.	Dr. Michael Hill|Alberta Health Services|University of Alberta|University of Calgary|Calgary Health Trust|Alberta Innovates Health Solutions|Government of Alberta	All	18 Years and older   (Adult, Older Adult)	Phase 3	1660	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	ABCOV-01 version 1.1	April 13, 2020	August 31, 2020	September 30, 2020	April 1, 2020		April 21, 2020	University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada		https://ClinicalTrials.gov/show/NCT04329611
28	NCT04352582	COVID-19 and Vaccination Attitudes	VACAT	Recruiting	No Results Available	COVID-19	Other: Survey	How vaccination and other attitudes are affected by COVID	University Hospital, Geneva|University of Zurich|University of Lausanne	All	Child, Adult, Older Adult		1000	Other	Observational	Observational Model: Other|Time Perspective: Prospective	VACAT	April 14, 2020	April 30, 2020	April 30, 2020	April 20, 2020		April 20, 2020	Survey, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04352582
29	NCT04325633	Efficacy of Addition of Naproxen in the Treatment of Critically Ill Patients Hospitalized for COVID-19 Infection	ENACOVID	Not yet recruiting	No Results Available	COVID-19	Drug: 1: Naproxen|Drug: 2: Standard of care	Mortality all causes at day30|Number of days alive free of mechanical ventilation|Number of days alive outside|Number of days alive outside hospital|Maximal changes in Sofa score|Time to negativation of virus titer in the nasopharyngeal aspirate (NPA)	Assistance Publique - Hôpitaux de Paris	All	18 Years and older   (Adult, Older Adult)	Phase 3	584	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	APHP200387	April 13, 2020	May 13, 2021	July 13, 2021	March 27, 2020		April 14, 2020			https://ClinicalTrials.gov/show/NCT04325633
30	NCT04351659	Novel Adoptive Cellular Therapy With SARS-CoV-2 Specific T Cells in Patients With Severe COVID-19		Recruiting	No Results Available	COVID-19	Other: Blood donation from convalescent donor	Success rate in production of SARS-CoV-2 specific T cells from convalescent donor	KK Women's and Children's Hospital|Singapore General Hospital|National University Hospital, Singapore	All	21 Years to 65 Years   (Adult, Older Adult)		8	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	COVID-T 1.0	April 2020	August 2020	August 2020	April 17, 2020		April 17, 2020	National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore		https://ClinicalTrials.gov/show/NCT04351659
31	NCT04323332	Traditional Chinese Medicine for Severe COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Traditional Chinese Medicine Prescription	Length of hospital stay (days)|Duration (days) of supplemental oxygenation|CT imaging changes|Mortality rate|Time to Clinical Improvement (TTCI)|The pneumonia severity index scores|Time to COVID-19 nucleic acid testing negativity in throat swab|Blood immune cell count|Serum inflammatory markers|Erythrocyte sedimentation rate|Platelet and D-dimer changes|Creatinine changes|Muscle enzymes changes|Usage of antibiotics|Usage of glucocorticoids|Frequency of adverse events	Xiyuan Hospital of China Academy of Chinese Medical Sciences	All	up to 85 Years   (Child, Adult, Older Adult)	Phase 3	50	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020XLA015-1	March 2020	March 2020	April 2020	March 26, 2020		March 26, 2020	Hao Li, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT04323332
