Country,SexDisaggregated,Date,TotalCases,PercentCasesMale,PercentCasesFemale,Deaths,PercentDeathsMale,PercentDeathsFemale,DeathsAmongConfirmedCasesMale,DeathsInConfirmedCasesFemale,DeathsInConfirmedCasesMFRatio,Sources
Germany,Yes,18.05.20,"174,697",48,52,"7,935",56,44,5.2%,3.9%,1.4,Source
Indonesia,Yes,19.05.20,"18,496",56,44,"1,221",64,36,7.5%,5.4%,1.4,Source
Republic of Ireland,Yes,06.05.20,"22,237",43,57,"1,336",51,49,7.2%,5.1%,1.4,Source
Australia,Yes,19.05.20,"7,076",51,49,99,57,43,1.6%,1.2%,1.3,Source
Chile,Yes,07.05.20,"25,952",53,47,294,60,40,1.3%,1.0%,1.3,Source
Portugal,Yes,17.05.20,"29,209",41,59,"1,231",49,51,4.9%,3.7%,1.3,Source
Bangladesh,Yes,19.05.20,"25,121",68,32,370,73,27,1.6%,1.2%,1.3,Source
Luxembourg,Yes,19.05.20,"3,958",51,49,109,55,45,3.0%,2.5%,1.2,Source
Norway,Yes,18.05.20,"8,257",50,50,233,55,45,3.1%,2.6%,1.2,Source
Colombia,Yes,18.05.20,"16,295",56,44,592,61,39,3.9%,3.2%,1.2,Source
Canada,Yes,18.05.20,"38,176",45,55,"2,149",47,53,5.9%,5.4%,1.1,Source
Iran,Yes,17.03.20,"14,991",57,43,853,59,41,5.9%,5.4%,1.1,Source
Estonia,Yes,19.05.20,"1,741",45,56,64,47,53,4%,4%,1.1,Source
Finland,Yes,19.05.20,"6,399",49,51,265,47,53,3.9%,4.3%,0.9,Source
Pakistan,Yes,20.05.20,"45,898",78,22,985,76,24,2.1%,2.3%,0.9,Source
Brazil,Partial,26.04.20,,,,"3,611",59,41,,,,Source
France,Partial,18.05.20,,,,"17,532",59,41,,,,Source
Israel,Partial,05.05.20,,,,238,52,48,,,,Source
Japan,Partial,18.05.20,"15,758",55,45,,,,,,,Source
Malaysia,Partial,18.05.20,,,,113,78,22,,,,Source
Poland,Partial,19.05.20,,,,946,51,49,,,,Source
Saudi Arabia,Partial,18.05.20,"57,345",75,25,,,,,,,Source
USA,Partial,13.05.20,,,,"54,860",55,45,,,,Source
India,Partial,30.04.20,,,,"1,075",64,36,,,,Source
Singapore,Partial,05.05.20,"6,530",89,11,,,,,,,Source
Qatar,Partial,28.04.20,"12,156",91,9,,,,,,,Source
Panama,Partial,18.05.20,"9,726",58,42,,,,,,,Source
Serbia,Partial,06.05.20,,,,193,62,38,,,,Source
Hungary,Partial,20.05.20,,,,472,51,49,,,,Source
Moldova,Partial,19.05.20,"6,340",41,59,,,,,,,Source
Algeria,Partial,19.05.20,"7,377",56,44,,,,,,,Source
Croatia,Partial,19.05.20,"2,229",46,54,,,,,,,Source
Armenia,Partial,19.05.20,,,,64,59,41,,,,Source
Iceland,Partial,18.05.20,"1,802",50,50,,,,,,,Source
Nigeria,Partial,18.05.20,"6,175",69,31,,,,,,,Source
Azerbaijan,Partial,19.05.20,"3,518",43,57,,,,,,,Source
Ghana,Partial,20.05.20,"6,096",61,39,,,,,,,Source
Kazakstan,Partial,20.05.20,"5,845",60,40,,,,,,,Source
North Macedonia,Partial,12.05.20,"1,674",52,48,,,,,,,Source
New Zealand,Partial,19.05.20,"1,502",44,56,,,,,,,Source
Honduras,Partial,18.05.20,"2,798",59,41,,,,,,,Source
Senegal,Partial,20.05.20,736,52,48,,,,,,,Source
Bulgaria,Partial,12.05.20,"2,023",48,52,,,,,,,Source
Wales,Partial,18.05.20,"12,570",36,64,,,,,,,Source
