"Country","Date","Cases","Cases_daily","Deaths","Deaths_daily"
"Canada",2020-01-28,2,1,0,0
"Canada",2020-01-29,2,0,0,0
"Canada",2020-01-30,2,0,0,0
"Canada",2020-01-31,4,2,0,0
"Canada",2020-02-01,4,0,0,0
"Canada",2020-02-02,4,0,0,0
"Canada",2020-02-03,4,0,0,0
"Canada",2020-02-04,4,0,0,0
"Canada",2020-02-05,5,1,0,0
"Canada",2020-02-06,5,0,0,0
"Canada",2020-02-07,7,2,0,0
"Canada",2020-02-08,7,0,0,0
"Canada",2020-02-09,7,0,0,0
"Canada",2020-02-10,7,0,0,0
"Canada",2020-02-11,7,0,0,0
"Canada",2020-02-12,7,0,0,0
"Canada",2020-02-13,7,0,0,0
"Canada",2020-02-14,7,0,0,0
"Canada",2020-02-15,7,0,0,0
"Canada",2020-02-16,7,0,0,0
"Canada",2020-02-17,8,1,0,0
"Canada",2020-02-18,8,0,0,0
"Canada",2020-02-19,8,0,0,0
"Canada",2020-02-20,8,0,0,0
"Canada",2020-02-21,9,1,0,0
"Canada",2020-02-22,9,0,0,0
"Canada",2020-02-23,9,0,0,0
"Canada",2020-02-24,10,1,0,0
"Canada",2020-02-25,11,1,0,0
"Canada",2020-02-26,11,0,0,0
"Canada",2020-02-27,13,2,0,0
"Canada",2020-02-28,14,1,0,0
"Canada",2020-02-29,20,6,0,0
"Canada",2020-03-01,24,4,0,0
"Canada",2020-03-02,27,3,0,0
"Canada",2020-03-03,30,3,0,0
"Canada",2020-03-04,33,3,0,0
"Canada",2020-03-05,37,4,0,0
"Canada",2020-03-06,49,12,0,0
"Canada",2020-03-07,54,5,0,0
"Canada",2020-03-08,64,10,0,0
"Canada",2020-03-09,77,13,1,1
"Canada",2020-03-10,79,2,1,0
"Canada",2020-03-11,108,29,1,0
"Canada",2020-03-12,117,9,1,0
"Canada",2020-03-13,193,76,1,0
"Canada",2020-03-14,198,5,1,0
"Canada",2020-03-15,252,54,1,0
"Canada",2020-03-16,415,163,4,3
"Canada",2020-03-17,478,63,5,1
"Canada",2020-03-18,657,179,8,3
"Canada",2020-03-19,800,143,9,1
"Canada",2020-03-20,943,143,12,3
"Canada",2020-03-21,1277,334,19,7
"Canada",2020-03-22,1469,192,21,2
"Canada",2020-03-23,2088,619,25,4
"Canada",2020-03-24,2790,702,26,1
"Canada",2020-03-25,3251,461,30,4
"Canada",2020-03-26,4042,791,38,8
"Canada",2020-03-27,4682,640,54,16
"Canada",2020-03-28,5576,894,61,7
"Canada",2020-03-29,6280,704,64,3
"Canada",2020-03-30,7398,1118,80,16
"Canada",2020-03-31,8527,1129,101,21
"Canada",2020-04-01,9560,1033,109,8
"Canada",2020-04-02,11284,1724,139,30
"Canada",2020-04-03,12437,1153,179,40
"Canada",2020-04-04,12978,541,218,39
"Canada",2020-04-05,15756,2778,259,41
"Canada",2020-04-06,16563,807,339,80
"Canada",2020-04-07,17872,1309,375,36
"Canada",2020-04-08,19141,1269,407,32
"Canada",2020-04-09,20654,1513,503,96
"Canada",2020-04-10,22059,1405,557,54
"Canada",2020-04-11,23316,1257,654,97
"China",2020-01-22,548,548,17,17
"China",2020-01-23,643,95,18,1
"China",2020-01-24,920,277,26,8
"China",2020-01-25,1406,486,42,16
"China",2020-01-26,2075,669,56,14
"China",2020-01-27,2877,802,82,26
"China",2020-01-28,5509,2632,131,49
"China",2020-01-29,6087,578,133,2
"China",2020-01-30,8141,2054,171,38
"China",2020-01-31,9802,1661,213,42
"China",2020-02-01,11891,2089,259,46
"China",2020-02-02,16630,4739,361,102
"China",2020-02-03,19716,3086,425,64
"China",2020-02-04,23707,3991,491,66
"China",2020-02-05,27440,3733,563,72
"China",2020-02-06,30587,3147,633,70
"China",2020-02-07,34110,3523,718,85
"China",2020-02-08,36814,2704,805,87
"China",2020-02-09,39829,3015,905,100
"China",2020-02-10,42354,2525,1012,107
"China",2020-02-11,44386,2032,1112,100
"China",2020-02-12,44759,373,1117,5
"China",2020-02-13,59895,15136,1369,252
"China",2020-02-14,66358,6463,1521,152
"China",2020-02-15,68413,2055,1663,142
"China",2020-02-16,70513,2100,1766,103
"China",2020-02-17,72434,1921,1864,98
"China",2020-02-18,74211,1777,2003,139
"China",2020-02-19,74619,408,2116,113
"China",2020-02-20,75077,458,2238,122
"China",2020-02-21,75550,473,2238,0
"China",2020-02-22,77001,1451,2443,205
"China",2020-02-23,77022,21,2445,2
"China",2020-02-24,77241,219,2595,150
"China",2020-02-25,77754,513,2665,70
"China",2020-02-26,78166,412,2717,52
"China",2020-02-27,78600,434,2746,29
"China",2020-02-28,78928,328,2790,44
"China",2020-02-29,79356,428,2837,47
"China",2020-03-01,79932,576,2872,35
"China",2020-03-02,80136,204,2914,42
"China",2020-03-03,80261,125,2947,33
"China",2020-03-04,80386,125,2983,36
"China",2020-03-05,80537,151,3015,32
"China",2020-03-06,80690,153,3044,29
"China",2020-03-07,80770,80,3072,28
"China",2020-03-08,80823,53,3100,28
"China",2020-03-09,80860,37,3123,23
"China",2020-03-10,80887,27,3139,16
"China",2020-03-11,80921,34,3161,22
"China",2020-03-12,80932,11,3172,11
"China",2020-03-13,80945,13,3180,8
"China",2020-03-14,80977,32,3193,13
"China",2020-03-15,81003,26,3203,10
"China",2020-03-16,81033,30,3217,14
"China",2020-03-17,81058,25,3230,13
"China",2020-03-18,81102,44,3241,11
"China",2020-03-19,81156,54,3249,8
"China",2020-03-20,81250,94,3253,4
"China",2020-03-21,81305,55,3259,6
"China",2020-03-22,81435,130,3274,15
"China",2020-03-23,81498,63,3274,0
"China",2020-03-24,81591,93,3281,7
"China",2020-03-25,81661,70,3285,4
"China",2020-03-26,81782,121,3291,6
"China",2020-03-27,81897,115,3296,5
"China",2020-03-28,81999,102,3299,3
"China",2020-03-29,82122,123,3304,5
"China",2020-03-30,82198,76,3308,4
"China",2020-03-31,82279,81,3309,1
"China",2020-04-01,82361,82,3316,7
"China",2020-04-02,82432,71,3322,6
"China",2020-04-03,82511,79,3326,4
"China",2020-04-04,82543,32,3330,4
"China",2020-04-05,82602,59,3333,3
"China",2020-04-06,82665,63,3335,2
"China",2020-04-07,82718,53,3335,0
"China",2020-04-08,82809,91,3337,2
"China",2020-04-09,82883,74,3339,2
"China",2020-04-10,82941,58,3340,1
"China",2020-04-11,83014,73,3343,3
"Afghanistan",2020-01-22,0,0,0,0
"Albania",2020-01-22,0,0,0,0
"Algeria",2020-01-22,0,0,0,0
"Andorra",2020-01-22,0,0,0,0
"Angola",2020-01-22,0,0,0,0
"Antigua and Barbuda",2020-01-22,0,0,0,0
"Argentina",2020-01-22,0,0,0,0
"Armenia",2020-01-22,0,0,0,0
"Austria",2020-01-22,0,0,0,0
"Azerbaijan",2020-01-22,0,0,0,0
"Bahamas",2020-01-22,0,0,0,0
"Bahrain",2020-01-22,0,0,0,0
"Bangladesh",2020-01-22,0,0,0,0
"Barbados",2020-01-22,0,0,0,0
"Belarus",2020-01-22,0,0,0,0
"Belgium",2020-01-22,0,0,0,0
"Benin",2020-01-22,0,0,0,0
"Bhutan",2020-01-22,0,0,0,0
"Bolivia",2020-01-22,0,0,0,0
"Bosnia and Herzegovina",2020-01-22,0,0,0,0
"Brazil",2020-01-22,0,0,0,0
"Brunei",2020-01-22,0,0,0,0
"Bulgaria",2020-01-22,0,0,0,0
"Burkina Faso",2020-01-22,0,0,0,0
"Cabo Verde",2020-01-22,0,0,0,0
"Cambodia",2020-01-22,0,0,0,0
"Cameroon",2020-01-22,0,0,0,0
"Central African Republic",2020-01-22,0,0,0,0
"Chad",2020-01-22,0,0,0,0
"Chile",2020-01-22,0,0,0,0
"Colombia",2020-01-22,0,0,0,0
"Congo (Brazzaville)",2020-01-22,0,0,0,0
"Congo (Kinshasa)",2020-01-22,0,0,0,0
"Costa Rica",2020-01-22,0,0,0,0
"Cote d'Ivoire",2020-01-22,0,0,0,0
"Croatia",2020-01-22,0,0,0,0
"Diamond Princess",2020-01-22,0,0,0,0
"Cuba",2020-01-22,0,0,0,0
"Cyprus",2020-01-22,0,0,0,0
"Czechia",2020-01-22,0,0,0,0
"Denmark",2020-01-22,0,0,0,0
"Djibouti",2020-01-22,0,0,0,0
"Dominican Republic",2020-01-22,0,0,0,0
"Ecuador",2020-01-22,0,0,0,0
"Egypt",2020-01-22,0,0,0,0
"El Salvador",2020-01-22,0,0,0,0
"Equatorial Guinea",2020-01-22,0,0,0,0
"Eritrea",2020-01-22,0,0,0,0
"Estonia",2020-01-22,0,0,0,0
"Eswatini",2020-01-22,0,0,0,0
"Ethiopia",2020-01-22,0,0,0,0
"Fiji",2020-01-22,0,0,0,0
"Finland",2020-01-22,0,0,0,0
"France",2020-01-22,0,0,0,0
"Gabon",2020-01-22,0,0,0,0
"Gambia",2020-01-22,0,0,0,0
"Georgia",2020-01-22,0,0,0,0
"Germany",2020-01-22,0,0,0,0
"Ghana",2020-01-22,0,0,0,0
"Greece",2020-01-22,0,0,0,0
"Guatemala",2020-01-22,0,0,0,0
"Guinea",2020-01-22,0,0,0,0
"Guyana",2020-01-22,0,0,0,0
"Haiti",2020-01-22,0,0,0,0
"Holy See",2020-01-22,0,0,0,0
"Honduras",2020-01-22,0,0,0,0
"Hungary",2020-01-22,0,0,0,0
"Iceland",2020-01-22,0,0,0,0
"India",2020-01-22,0,0,0,0
"Indonesia",2020-01-22,0,0,0,0
"Iran",2020-01-22,0,0,0,0
"Iraq",2020-01-22,0,0,0,0
"Ireland",2020-01-22,0,0,0,0
"Israel",2020-01-22,0,0,0,0
"Italy",2020-01-22,0,0,0,0
"Jamaica",2020-01-22,0,0,0,0
"Japan",2020-01-22,2,2,0,0
"Jordan",2020-01-22,0,0,0,0
"Kazakhstan",2020-01-22,0,0,0,0
"Kenya",2020-01-22,0,0,0,0
"Korea, South",2020-01-22,1,1,0,0
"Kuwait",2020-01-22,0,0,0,0
"Kyrgyzstan",2020-01-22,0,0,0,0
"Latvia",2020-01-22,0,0,0,0
"Lebanon",2020-01-22,0,0,0,0
"Liberia",2020-01-22,0,0,0,0
"Liechtenstein",2020-01-22,0,0,0,0
"Lithuania",2020-01-22,0,0,0,0
"Luxembourg",2020-01-22,0,0,0,0
"Madagascar",2020-01-22,0,0,0,0
"Malaysia",2020-01-22,0,0,0,0
"Maldives",2020-01-22,0,0,0,0
"Malta",2020-01-22,0,0,0,0
"Mauritania",2020-01-22,0,0,0,0
"Mauritius",2020-01-22,0,0,0,0
"Mexico",2020-01-22,0,0,0,0
"Moldova",2020-01-22,0,0,0,0
"Monaco",2020-01-22,0,0,0,0
"Mongolia",2020-01-22,0,0,0,0
"Montenegro",2020-01-22,0,0,0,0
"Morocco",2020-01-22,0,0,0,0
"Namibia",2020-01-22,0,0,0,0
"Nepal",2020-01-22,0,0,0,0
"Netherlands",2020-01-22,0,0,0,0
"New Zealand",2020-01-22,0,0,0,0
"Nicaragua",2020-01-22,0,0,0,0
"Niger",2020-01-22,0,0,0,0
"Nigeria",2020-01-22,0,0,0,0
"North Macedonia",2020-01-22,0,0,0,0
"Norway",2020-01-22,0,0,0,0
"Oman",2020-01-22,0,0,0,0
"Pakistan",2020-01-22,0,0,0,0
"Panama",2020-01-22,0,0,0,0
"Papua New Guinea",2020-01-22,0,0,0,0
"Paraguay",2020-01-22,0,0,0,0
"Peru",2020-01-22,0,0,0,0
"Philippines",2020-01-22,0,0,0,0
"Poland",2020-01-22,0,0,0,0
"Portugal",2020-01-22,0,0,0,0
"Qatar",2020-01-22,0,0,0,0
"Romania",2020-01-22,0,0,0,0
"Russia",2020-01-22,0,0,0,0
"Rwanda",2020-01-22,0,0,0,0
"Saint Lucia",2020-01-22,0,0,0,0
"Saint Vincent and the Grenadines",2020-01-22,0,0,0,0
"San Marino",2020-01-22,0,0,0,0
"Saudi Arabia",2020-01-22,0,0,0,0
"Senegal",2020-01-22,0,0,0,0
"Serbia",2020-01-22,0,0,0,0
"Seychelles",2020-01-22,0,0,0,0
"Singapore",2020-01-22,0,0,0,0
"Slovakia",2020-01-22,0,0,0,0
"Slovenia",2020-01-22,0,0,0,0
"Somalia",2020-01-22,0,0,0,0
"South Africa",2020-01-22,0,0,0,0
"Spain",2020-01-22,0,0,0,0
"Sri Lanka",2020-01-22,0,0,0,0
"Sudan",2020-01-22,0,0,0,0
"Suriname",2020-01-22,0,0,0,0
"Sweden",2020-01-22,0,0,0,0
"Switzerland",2020-01-22,0,0,0,0
"Taiwan*",2020-01-22,1,1,0,0
"Tanzania",2020-01-22,0,0,0,0
"Thailand",2020-01-22,2,2,0,0
"Togo",2020-01-22,0,0,0,0
"Trinidad and Tobago",2020-01-22,0,0,0,0
"Tunisia",2020-01-22,0,0,0,0
"Turkey",2020-01-22,0,0,0,0
"Uganda",2020-01-22,0,0,0,0
"Ukraine",2020-01-22,0,0,0,0
"United Arab Emirates",2020-01-22,0,0,0,0
"United Kingdom",2020-01-22,0,0,0,0
"Uruguay",2020-01-22,0,0,0,0
"US",2020-01-22,1,1,0,0
"Uzbekistan",2020-01-22,0,0,0,0
"Venezuela",2020-01-22,0,0,0,0
"Vietnam",2020-01-22,0,0,0,0
"Zambia",2020-01-22,0,0,0,0
"Zimbabwe",2020-01-22,0,0,0,0
"Dominica",2020-01-22,0,0,0,0
"Grenada",2020-01-22,0,0,0,0
"Mozambique",2020-01-22,0,0,0,0
"Syria",2020-01-22,0,0,0,0
"Timor-Leste",2020-01-22,0,0,0,0
"Belize",2020-01-22,0,0,0,0
"Laos",2020-01-22,0,0,0,0
"Libya",2020-01-22,0,0,0,0
"West Bank and Gaza",2020-01-22,0,0,0,0
"Guinea-Bissau",2020-01-22,0,0,0,0
"Mali",2020-01-22,0,0,0,0
"Saint Kitts and Nevis",2020-01-22,0,0,0,0
"Kosovo",2020-01-22,0,0,0,0
"Burma",2020-01-22,0,0,0,0
"MS Zaandam",2020-01-22,0,0,0,0
"Botswana",2020-01-22,0,0,0,0
"Burundi",2020-01-22,0,0,0,0
"Sierra Leone",2020-01-22,0,0,0,0
"Malawi",2020-01-22,0,0,0,0
"South Sudan",2020-01-22,0,0,0,0
"Western Sahara",2020-01-22,0,0,0,0
"Sao Tome and Principe",2020-01-22,0,0,0,0
"Yemen",2020-01-22,0,0,0,0
"Afghanistan",2020-01-23,0,0,0,0
"Albania",2020-01-23,0,0,0,0
"Algeria",2020-01-23,0,0,0,0
"Andorra",2020-01-23,0,0,0,0
"Angola",2020-01-23,0,0,0,0
"Antigua and Barbuda",2020-01-23,0,0,0,0
"Argentina",2020-01-23,0,0,0,0
"Armenia",2020-01-23,0,0,0,0
"Austria",2020-01-23,0,0,0,0
"Azerbaijan",2020-01-23,0,0,0,0
"Bahamas",2020-01-23,0,0,0,0
"Bahrain",2020-01-23,0,0,0,0
"Bangladesh",2020-01-23,0,0,0,0
"Barbados",2020-01-23,0,0,0,0
"Belarus",2020-01-23,0,0,0,0
"Belgium",2020-01-23,0,0,0,0
"Benin",2020-01-23,0,0,0,0
"Bhutan",2020-01-23,0,0,0,0
"Bolivia",2020-01-23,0,0,0,0
"Bosnia and Herzegovina",2020-01-23,0,0,0,0
"Brazil",2020-01-23,0,0,0,0
"Brunei",2020-01-23,0,0,0,0
"Bulgaria",2020-01-23,0,0,0,0
"Burkina Faso",2020-01-23,0,0,0,0
"Cabo Verde",2020-01-23,0,0,0,0
"Cambodia",2020-01-23,0,0,0,0
"Cameroon",2020-01-23,0,0,0,0
"Central African Republic",2020-01-23,0,0,0,0
"Chad",2020-01-23,0,0,0,0
"Chile",2020-01-23,0,0,0,0
"Colombia",2020-01-23,0,0,0,0
"Congo (Brazzaville)",2020-01-23,0,0,0,0
"Congo (Kinshasa)",2020-01-23,0,0,0,0
"Costa Rica",2020-01-23,0,0,0,0
"Cote d'Ivoire",2020-01-23,0,0,0,0
"Croatia",2020-01-23,0,0,0,0
"Diamond Princess",2020-01-23,0,0,0,0
"Cuba",2020-01-23,0,0,0,0
"Cyprus",2020-01-23,0,0,0,0
"Czechia",2020-01-23,0,0,0,0
"Denmark",2020-01-23,0,0,0,0
"Djibouti",2020-01-23,0,0,0,0
"Dominican Republic",2020-01-23,0,0,0,0
"Ecuador",2020-01-23,0,0,0,0
"Egypt",2020-01-23,0,0,0,0
"El Salvador",2020-01-23,0,0,0,0
"Equatorial Guinea",2020-01-23,0,0,0,0
"Eritrea",2020-01-23,0,0,0,0
"Estonia",2020-01-23,0,0,0,0
"Eswatini",2020-01-23,0,0,0,0
"Ethiopia",2020-01-23,0,0,0,0
"Fiji",2020-01-23,0,0,0,0
"Finland",2020-01-23,0,0,0,0
"France",2020-01-23,0,0,0,0
"Gabon",2020-01-23,0,0,0,0
"Gambia",2020-01-23,0,0,0,0
"Georgia",2020-01-23,0,0,0,0
"Germany",2020-01-23,0,0,0,0
"Ghana",2020-01-23,0,0,0,0
"Greece",2020-01-23,0,0,0,0
"Guatemala",2020-01-23,0,0,0,0
"Guinea",2020-01-23,0,0,0,0
"Guyana",2020-01-23,0,0,0,0
"Haiti",2020-01-23,0,0,0,0
"Holy See",2020-01-23,0,0,0,0
"Honduras",2020-01-23,0,0,0,0
"Hungary",2020-01-23,0,0,0,0
"Iceland",2020-01-23,0,0,0,0
"India",2020-01-23,0,0,0,0
"Indonesia",2020-01-23,0,0,0,0
"Iran",2020-01-23,0,0,0,0
"Iraq",2020-01-23,0,0,0,0
"Ireland",2020-01-23,0,0,0,0
"Israel",2020-01-23,0,0,0,0
"Italy",2020-01-23,0,0,0,0
"Jamaica",2020-01-23,0,0,0,0
"Japan",2020-01-23,2,0,0,0
"Jordan",2020-01-23,0,0,0,0
"Kazakhstan",2020-01-23,0,0,0,0
"Kenya",2020-01-23,0,0,0,0
"Korea, South",2020-01-23,1,0,0,0
"Kuwait",2020-01-23,0,0,0,0
"Kyrgyzstan",2020-01-23,0,0,0,0
"Latvia",2020-01-23,0,0,0,0
"Lebanon",2020-01-23,0,0,0,0
"Liberia",2020-01-23,0,0,0,0
"Liechtenstein",2020-01-23,0,0,0,0
"Lithuania",2020-01-23,0,0,0,0
"Luxembourg",2020-01-23,0,0,0,0
"Madagascar",2020-01-23,0,0,0,0
"Malaysia",2020-01-23,0,0,0,0
"Maldives",2020-01-23,0,0,0,0
"Malta",2020-01-23,0,0,0,0
"Mauritania",2020-01-23,0,0,0,0
"Mauritius",2020-01-23,0,0,0,0
"Mexico",2020-01-23,0,0,0,0
"Moldova",2020-01-23,0,0,0,0
"Monaco",2020-01-23,0,0,0,0
"Mongolia",2020-01-23,0,0,0,0
"Montenegro",2020-01-23,0,0,0,0
"Morocco",2020-01-23,0,0,0,0
"Namibia",2020-01-23,0,0,0,0
"Nepal",2020-01-23,0,0,0,0
"Netherlands",2020-01-23,0,0,0,0
"New Zealand",2020-01-23,0,0,0,0
"Nicaragua",2020-01-23,0,0,0,0
"Niger",2020-01-23,0,0,0,0
"Nigeria",2020-01-23,0,0,0,0
"North Macedonia",2020-01-23,0,0,0,0
"Norway",2020-01-23,0,0,0,0
"Oman",2020-01-23,0,0,0,0
"Pakistan",2020-01-23,0,0,0,0
"Panama",2020-01-23,0,0,0,0
"Papua New Guinea",2020-01-23,0,0,0,0
"Paraguay",2020-01-23,0,0,0,0
"Peru",2020-01-23,0,0,0,0
"Philippines",2020-01-23,0,0,0,0
"Poland",2020-01-23,0,0,0,0
"Portugal",2020-01-23,0,0,0,0
"Qatar",2020-01-23,0,0,0,0
"Romania",2020-01-23,0,0,0,0
"Russia",2020-01-23,0,0,0,0
"Rwanda",2020-01-23,0,0,0,0
"Saint Lucia",2020-01-23,0,0,0,0
"Saint Vincent and the Grenadines",2020-01-23,0,0,0,0
"San Marino",2020-01-23,0,0,0,0
"Saudi Arabia",2020-01-23,0,0,0,0
"Senegal",2020-01-23,0,0,0,0
"Serbia",2020-01-23,0,0,0,0
"Seychelles",2020-01-23,0,0,0,0
"Singapore",2020-01-23,1,1,0,0
"Slovakia",2020-01-23,0,0,0,0
"Slovenia",2020-01-23,0,0,0,0
"Somalia",2020-01-23,0,0,0,0
"South Africa",2020-01-23,0,0,0,0
"Spain",2020-01-23,0,0,0,0
"Sri Lanka",2020-01-23,0,0,0,0
"Sudan",2020-01-23,0,0,0,0
"Suriname",2020-01-23,0,0,0,0
"Sweden",2020-01-23,0,0,0,0
"Switzerland",2020-01-23,0,0,0,0
"Taiwan*",2020-01-23,1,0,0,0
"Tanzania",2020-01-23,0,0,0,0
"Thailand",2020-01-23,3,1,0,0
"Togo",2020-01-23,0,0,0,0
"Trinidad and Tobago",2020-01-23,0,0,0,0
"Tunisia",2020-01-23,0,0,0,0
"Turkey",2020-01-23,0,0,0,0
"Uganda",2020-01-23,0,0,0,0
"Ukraine",2020-01-23,0,0,0,0
"United Arab Emirates",2020-01-23,0,0,0,0
"United Kingdom",2020-01-23,0,0,0,0
"Uruguay",2020-01-23,0,0,0,0
"US",2020-01-23,1,0,0,0
"Uzbekistan",2020-01-23,0,0,0,0
"Venezuela",2020-01-23,0,0,0,0
"Vietnam",2020-01-23,2,2,0,0
"Zambia",2020-01-23,0,0,0,0
"Zimbabwe",2020-01-23,0,0,0,0
"Dominica",2020-01-23,0,0,0,0
"Grenada",2020-01-23,0,0,0,0
"Mozambique",2020-01-23,0,0,0,0
"Syria",2020-01-23,0,0,0,0
"Timor-Leste",2020-01-23,0,0,0,0
"Belize",2020-01-23,0,0,0,0
"Laos",2020-01-23,0,0,0,0
"Libya",2020-01-23,0,0,0,0
"West Bank and Gaza",2020-01-23,0,0,0,0
"Guinea-Bissau",2020-01-23,0,0,0,0
"Mali",2020-01-23,0,0,0,0
"Saint Kitts and Nevis",2020-01-23,0,0,0,0
"Kosovo",2020-01-23,0,0,0,0
"Burma",2020-01-23,0,0,0,0
"MS Zaandam",2020-01-23,0,0,0,0
"Botswana",2020-01-23,0,0,0,0
"Burundi",2020-01-23,0,0,0,0
"Sierra Leone",2020-01-23,0,0,0,0
"Malawi",2020-01-23,0,0,0,0
"South Sudan",2020-01-23,0,0,0,0
"Western Sahara",2020-01-23,0,0,0,0
"Sao Tome and Principe",2020-01-23,0,0,0,0
"Yemen",2020-01-23,0,0,0,0
"Afghanistan",2020-01-24,0,0,0,0
"Albania",2020-01-24,0,0,0,0
"Algeria",2020-01-24,0,0,0,0
"Andorra",2020-01-24,0,0,0,0
"Angola",2020-01-24,0,0,0,0
"Antigua and Barbuda",2020-01-24,0,0,0,0
"Argentina",2020-01-24,0,0,0,0
"Armenia",2020-01-24,0,0,0,0
"Austria",2020-01-24,0,0,0,0
"Azerbaijan",2020-01-24,0,0,0,0
"Bahamas",2020-01-24,0,0,0,0
"Bahrain",2020-01-24,0,0,0,0
"Bangladesh",2020-01-24,0,0,0,0
"Barbados",2020-01-24,0,0,0,0
"Belarus",2020-01-24,0,0,0,0
"Belgium",2020-01-24,0,0,0,0
"Benin",2020-01-24,0,0,0,0
"Bhutan",2020-01-24,0,0,0,0
"Bolivia",2020-01-24,0,0,0,0
"Bosnia and Herzegovina",2020-01-24,0,0,0,0
"Brazil",2020-01-24,0,0,0,0
"Brunei",2020-01-24,0,0,0,0
"Bulgaria",2020-01-24,0,0,0,0
"Burkina Faso",2020-01-24,0,0,0,0
"Cabo Verde",2020-01-24,0,0,0,0
"Cambodia",2020-01-24,0,0,0,0
"Cameroon",2020-01-24,0,0,0,0
"Central African Republic",2020-01-24,0,0,0,0
"Chad",2020-01-24,0,0,0,0
"Chile",2020-01-24,0,0,0,0
"Colombia",2020-01-24,0,0,0,0
"Congo (Brazzaville)",2020-01-24,0,0,0,0
"Congo (Kinshasa)",2020-01-24,0,0,0,0
"Costa Rica",2020-01-24,0,0,0,0
"Cote d'Ivoire",2020-01-24,0,0,0,0
"Croatia",2020-01-24,0,0,0,0
"Diamond Princess",2020-01-24,0,0,0,0
"Cuba",2020-01-24,0,0,0,0
"Cyprus",2020-01-24,0,0,0,0
"Czechia",2020-01-24,0,0,0,0
"Denmark",2020-01-24,0,0,0,0
"Djibouti",2020-01-24,0,0,0,0
"Dominican Republic",2020-01-24,0,0,0,0
"Ecuador",2020-01-24,0,0,0,0
"Egypt",2020-01-24,0,0,0,0
"El Salvador",2020-01-24,0,0,0,0
