#1.Counts	ClinicalTrial_Status	ClinicalTrial_Results
291	Recruiting	No Results Available
256	Not yet recruiting	No Results Available
18	Active, not recruiting	No Results Available
17	Enrolling by invitation	No Results Available
11	Completed	No Results Available
7	Available	No Results Available
6	Suspended	No Results Available
3	Withdrawn	No Results Available
2	Terminated	No Results Available
1	No longer available	No Results Available
-e 
#2.Counts	ClinicalTrial Start Date
1	Lenalidomide as a 5 mg capsule PO daily, days 1, 3, and 5.
1	Leflunomide
1	LEAF-4L6715
1	LB1148
1	IVERMECTIN (IVER P®) arm will receive IVM 600 µg / kg once daily plus standard care. CONTROL arm will receive standard care.
1	Ivermectine
1	Ivermectin 6 MG Oral Tablet (2 tablets)
1	Isotretinoin plus Tamoxifen
1	Isotretinoin Only Product in Oral Dose Form
1	Intravenous sedation
1	Intravenous Immunoglobulin
1	Intermediate dose thromboprophylaxis
1	Interleukin-7
1	Interferon Beta-1B
1	Interferon Beta-1A
1	Interferon beta 1a
1	iNO (inhaled nitric oxide) delivered via the INOpulse Delivery System
1	INO-4800
1	Injection
1	injection
1	Inhaled nitric oxide gas
1	Inhaled Hypertonic ibuprofen
1	Inhaled budesonide
1	Inhalation
1	Inactivated convalescent plasma
1	IMU-838
1	Immunoglobulin of cured patients
1	Imatinib
1	Ibuprofen
1	Ibrutinib
1	Hyperbaric oxygen
1	hydroxychloroquine tablet
1	Hydroxychloroquine Sulfate (HCQ)
1	Hydroxychloroquine sulfate &Azithromycin
1	Hydroxychloroquine Sulfate 400 mg twice a day
1	Hydroxychloroquine Sulfate 200 milligram (mg) Tab
1	hydroxychloroquine sulfate 200 MG
1	Hydroxychloroquine SAR321068
1	Hydroxychloroquine Pre-Exposure Prophylaxis
1	Hydroxychloroquine plus standard preventive measures
1	Hydroxychloroquine + placebo
1	Hydroxychloroquine Oral Product
1	hydroxychloroquine in combination with camostat mesylate
1	Hydroxychloroquine - Daily Dosing
1	Hydroxychloroquine - Daily dosing
1	Hydroxychloroquine, Azithromycin
1	Hydroxychloroquine + Azithromycin
1	Hydroxychloroquine + azithromycin
1	Hydroxychloroquine as post exposure prophylaxis
1	Hydroxychloroquine and azithromycin treatment arm.
1	Hydroxychloroquine and azithromycin treatment
1	Hydroxychloroquine and Azithromycin
1	Hydroxychloroquine 200 Mg Oral Tablet
1	Hydrocortisone
1	Human immunoglobulin
1	Huaier Granule
1	Honey
1	High-Titer Anti-SARS-CoV-2 (COVID 19) Convalescent Plasma
1	Hidroxicloroquine
1	Hidroxicloroquina
1	Heparin
1	HCQ + Intravenous Famotidine
1	HCQ & AZ vs HCQ+SIR
1	HCQ & AZ
1	HCQ
1	HB-adMSC
1	Group A HCQ
1	Group 1: Rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed
1	Gimsilumab
1	Gargle/Mouthwash
1	Ganovo+ritonavir+/-Interferon nebulization
1	Galidesivir
1	FT516
1	fondaparinux
1	Fluvoxamine
1	Fluoxetine
1	Fixed-duration Hydrocortisone
1	Fingolimod 0.5 mg
1	Favipiravir + Standard of Care
1	Favipiravir Combined With Tocilizumab
1	favipiravir
1	Famotidine
1	Experimental drug
1	Etoposide
1	Estradiol patch
1	Escin
1	Enoxaparin Prophylactic Dose
1	Enoxaparin Prefilled Syringe [Lovenox]
1	Enoxaparin Higher Dose
1	Emtricitabine/tenofovir disoproxil
1	EIDD-2801
1	Eicosapentaenoic acid gastro-resistant capsules
1	EDP1815
1	Duvelisib
1	Drug Isotretinoin (13 cis retinoic acid ) capsules+standard treatment
1	Doxycycline
1	Dornase Alfa
1	Dociparastat sodium
1	Dipyridamole 100 Milligram(mg)
1	Dietary Supplement containing resistant starch
1	Dialyzable Leukocyte Extract
1	DFV890
1	Dexmedetomidine Injectable Product
1	Dexamethasone and Hydroxychloroquine
1	Desferal 500 MG Injection
1	DeltaRex-G
1	Defibrotide Injection
1	Deferoxamine
1	Darunavir and Cobicistat
1	Dapagliflozin 10 MG
1	Danoprevir+Ritonavir
1	Cyclosporine
1	Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules
1	Convalescent Plasma Transfusion
1	Convalescent plasma
1	Colchicine 1 MG Oral Tablet
1	CM4620-Injectable Emulsion
1	Clevudine
1	Clazakizumab 25 mg
1	Ciclesonide Metered Dose Inhaler [Alvesco]
1	Ciclesonide Inhalation Aerosol
1	Ciclesonide
1	cholecalciferol 200,000 IU
1	Chlorpromazine Injection
1	CHLORPROMAZINE (CPZ)
1	Chloroquine Sulfate
1	Chloroquine Diphosphate
1	Chloroquine diphosphate
1	Chloroquine analog (GNS651)
1	chloroquine
1	chlorine dioxide 3000 ppm
1	Chemotherapy
1	CD24Fc
1	Carrimycin
1	captopril 25mg
1	Canakinumab Injection 600mg
1	Canakinumab 150 MG/ML [Ilaris]
1	Canakinumab
1	Budesonide Nasal
1	Bromhexine Hydrochloride Tablets
1	Bovine Lipid Extract Surfactant
1	BMS-986253
1	Blockers (ARB)
1	Blockers
1	blocker
1	BLD-2660
1	Bicalutamide 150 Mg Oral Tablet
1	Bevacizumab
1	Best supportive Care (BSC) + IFX-1
1	BAT + Calcifediol
1	Baricitinib Oral Tablet
1	Baricitinib 4 MG Oral Tablet
1	azoximer bromide
1	Azithromycin Capsule
1	Azithromycin 500 milligram (mg) oral Tablet
1	AVM0703
1	Aviptadil (VIP)
1	Aviptadil by intravenous infusion + maximal intensive care
1	Atovaquone/Azithromycin
1	Atorvastatin
1	AT-527
1	AT-001
1	Aspirin 81 mg
1	Aspirin 75mg
1	Aspirin 100mg
1	Aspirin
1	ASC09/ritonavir group
1	ASC09F+Oseltamivir
1	Artemisinin / Artesunate
1	ArtemiC
1	Arbidol
1	Apo-Hydroxychloroquine
1	Anluohuaxian
1	Angiotensin converting enzyme inhibitor
1	Angiotensin 1-7
1	Anakinra plus oSOC
1	Anakinra alone (stages 2b/3)
1	AMY-101
1	Amiodarone
1	Alvelestat (MPH996) Plus Aerosolized 13 cis retinoic acid
1	Alteplase 50 MG [Activase]
1	alpha one antitrypsin inhalation
1	Almitrine
1	Allogeneic and expanded adipose tissue-derived mesenchymal stromal cells
1	ALLOGENEIC AND EXPANDED ADIPOSE TISSUE-DERIVED MESENCHYMAL STEM CELLS
1	a duration of seven days :
1	ACEIs
1	ACE Inhibitors and Calcium Channel Blockers
1	ABX464
1	50 mg/mL Virazole
1	2: Usual practice + SYMBICORT RAPIHALER
1	1: Naproxen
1	1: ILT101
1	1: discontinuation of RAS blocker therapy
1	18F-αvβ6-BP
1	15 days
